equipement;datetime;T_mu;debit_Ventulation
Baie_0001;20/09/2006;14,4875;44,9949
Baie_0001;21/09/2006;14,1875;56,2137
Baie_0001;22/09/2006;15,3;55,5784
Baie_0001;23/09/2006;14,025;58,6842
Baie_0001;24/09/2006;14,275;52,8635
Baie_0001;25/09/2006;12,5125;58,3437
Baie_0001;26/09/2006;11;46,8017
Baie_0001;27/09/2006;13,5875;55,9505
Baie_0001;28/09/2006;14;45,8982
Baie_0001;29/09/2006;12,325;49,7081
Baie_0001;30/09/2006;12,05;52,6099
Baie_0001;01/10/2006;11,15;49,6468
Baie_0001;02/10/2006;12,875;47,2964
Baie_0001;03/10/2006;12,875;52,6465
Baie_0001;04/10/2006;13,725;46,7221
Baie_0001;05/10/2006;13,2625;54,2505
Baie_0001;06/10/2006;12,3125;56,3506
Baie_0001;07/10/2006;12,025;57,571
Baie_0001;08/10/2006;13,15;57,6081
Baie_0001;09/10/2006;11,1375;46,6826
Baie_0001;10/10/2006;7,2625;35,8922
Baie_0001;11/10/2006;9,7875;41,5825
Baie_0001;13/10/2006;7,65;47,3527
Baie_0001;14/10/2006;10,075;42,0296
Baie_0001;15/10/2006;7,3125;40,2164
Baie_0001;19/10/2006;4,45;41,1614
Baie_0001;20/10/2006;3,825;41,1369
Baie_0001;21/10/2006;6,175;45,774
Baie_0001;22/10/2006;10,6625;46,8082
Baie_0001;23/10/2006;11,8875;56,7923
Baie_0001;24/10/2006;12,7;48,0784
Baie_0001;25/10/2006;8,6375;45,228
Baie_0001;26/10/2006;4,35;41,1086
Baie_0001;27/10/2006;9,8625;53,3091
Baie_0001;28/10/2006;2,9375;35,8572
Baie_0001;29/10/2006;-0,844444444;36,19465556
Baie_0001;30/10/2006;1,1625;37,4209
Baie_0001;31/10/2006;1,9125;45,2879
Baie_0001;01/11/2006;-0,7125;28,5799
Baie_0001;02/11/2006;-3,3875;37,611
Baie_0001;03/11/2006;-3,5625;37,2458
Baie_0001;04/11/2006;-5,075;22,7721
Baie_0001;05/11/2006;-6,0875;27,3243
Baie_0001;06/11/2006;0,5625;34,2552
Baie_0001;07/11/2006;3,9375;45,5867
Baie_0001;08/11/2006;3,2875;48,3452
Baie_0001;09/11/2006;-1,125;32,5042
Baie_0001;10/11/2006;-1,1125;34,6395
Baie_0001;11/11/2006;-0,5875;36,0699
Baie_0001;12/11/2006;1,0875;40,5743
Baie_0001;13/11/2006;-0,975;31,4693
Baie_0001;14/11/2006;1,975;46,3695
Baie_0001;15/11/2006;4,4;44,8676
Baie_0001;16/11/2006;2,35;41,2348
Baie_0001;17/11/2006;4,2125;40,6167
Baie_0001;18/11/2006;6,5125;37,7724
Baie_0001;19/11/2006;6,4125;49,7688
Baie_0001;20/11/2006;5,0125;51,837
Baie_0001;21/11/2006;5,2625;33,3437
Baie_0001;22/11/2006;6,575;38,8798
Baie_0001;23/11/2006;4,95;41,1272
Baie_0001;24/11/2006;6,5375;51,3367
Baie_0001;25/11/2006;7,375;49,6912
Baie_0001;26/11/2006;7,7;45,1448
Baie_0001;27/11/2006;6,6375;40,7325
Baie_0001;28/11/2006;6,05;38,7165
Baie_0001;29/11/2006;6,1125;41,4106
Baie_0001;30/11/2006;6,7125;54,8772
Baie_0001;01/12/2006;6,5125;38,3357
Baie_0001;02/12/2006;6,6;42,6984
Baie_0001;03/12/2006;6,3;46,9975
Baie_0001;04/12/2006;6,3;45,8493
Baie_0001;05/12/2006;6,6875;37,7988
Baie_0001;06/12/2006;8,2375;44,6593
Baie_0001;07/12/2006;7,2625;49,4186
Baie_0001;08/12/2006;6,9875;48,3242
Baie_0001;09/12/2006;7,5;40,3834
Baie_0001;10/12/2006;6,8125;44,7484
Baie_0001;11/12/2006;6,3;44,8001
Baie_0001;12/12/2006;6,425;42,8612
Baie_0001;13/12/2006;6,0875;41,3808
Baie_0001;14/12/2006;6,2625;42,8558
Baie_0001;15/12/2006;6,8625;45,4123
Baie_0001;16/12/2006;3,8125;41,7389
Baie_0001;17/12/2006;0,975;35,9415
Baie_0001;18/12/2006;-0,4;43,7991
Baie_0001;19/12/2006;-3,4375;28,487
Baie_0001;20/12/2006;1,5;37,4025
Baie_0001;21/12/2006;2,966666667;36,82236667
Baie_0001;22/12/2006;3,2375;42,9675
Baie_0001;23/12/2006;4,15;33,6961
Baie_0001;24/12/2006;4,0625;46,6028
Baie_0001;25/12/2006;-3,025;38,3175
Baie_0001;26/12/2006;1,7125;44,4678
Baie_0001;27/12/2006;3,725;38,7923
Baie_0001;28/12/2006;1,125;49,1669
Baie_0001;29/12/2006;-2,725;39,8344
Baie_0001;30/12/2006;2,2375;39,7769
Baie_0001;31/12/2006;4,15;45,4648
Baie_0001;01/01/2007;3,3875;46,6674
Baie_0001;02/01/2007;3,075;51,8675
Baie_0001;03/01/2007;2,0125;40,8333
Baie_0001;04/01/2007;3,3625;43,1441
Baie_0001;05/01/2007;4,1625;43,4964
Baie_0001;06/01/2007;0,9;36,3921
Baie_0001;07/01/2007;2,1375;33,664
Baie_0001;08/01/2007;5,05;44,0222
Baie_0001;09/01/2007;5,4625;45,0874
Baie_0001;10/01/2007;6,4;39,9207
Baie_0001;11/01/2007;0,3375;43,1582
Baie_0001;12/01/2007;-2,825;35,6909
Baie_0001;13/01/2007;0,5;36,2477
Baie_0001;14/01/2007;2,1;43,7578
Baie_0001;15/01/2007;0,875;47,4678
Baie_0001;16/01/2007;4,35;40,5668
Baie_0001;17/01/2007;1,925;48,3262
Baie_0001;18/01/2007;3,2375;38,1118
Baie_0001;19/01/2007;-0,5;38,2969
Baie_0001;20/01/2007;-3,975;35,3933
Baie_0001;21/01/2007;-4;28,6908
Baie_0001;22/01/2007;-9,4625;32,2627
Baie_0001;23/01/2007;-9,075;27,7233
Baie_0001;24/01/2007;-2,7625;32,4912
Baie_0001;25/01/2007;-8,7125;34,5086
Baie_0001;26/01/2007;-0,3375;40,0609
Baie_0001;27/01/2007;-5,9625;36,6069
Baie_0001;28/01/2007;-9,75;29,9642
Baie_0001;29/01/2007;-10,25;23,9215
Baie_0001;30/01/2007;-9,9625;31,2108
Baie_0001;31/01/2007;-4,375;35,5012
Baie_0001;01/02/2007;-5,1125;27,1034
Baie_0001;02/02/2007;0,275;38,6887
